Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,League,Team,Year,PlayerID,Throws
3,Shigeru Morii,23,4,9,0.308,3.48,18,12,6,7,0,NA,101,104,56,39,2,36,NA,30,0,0,0,441,1.386,9.3,0.2,3.2,2.7,0.83,Japanese Baseball League (Spring),Nagoya,1938,morii-000shi,right
4,Michio Nishizawa,16,3,4,0.429,2.05,12,5,7,3,0,NA,57,38,17,13,1,35,NA,11,1,0,1,244,1.281,6,0.2,5.5,1.7,0.31,Japanese Baseball League (Spring),Nagoya,1938,nishiz000mic,right
5,Sakae Shigesato,22,1,3,0.25,5.17,9,5,2,1,0,NA,31.1,34,24,18,0,27,NA,9,2,0,2,155,1.947,9.8,0,7.8,2.6,0.33,Japanese Baseball League (Spring),Nagoya,1938,shiger000sak,right
1,Kuranosuke Furuya,27,3,6,0.333,4.54,12,11,0,5,0,NA,73.1,85,49,37,1,51,NA,17,2,0,3,358,1.855,10.4,0.1,6.3,2.1,0.33,Japanese Baseball League (Spring),Nagoya Kinko,1938,furuya000kur,right
2,Masayoshi Nakayama,20,8,7,0.533,2.86,19,12,9,8,1,NA,125.2,96,57,40,3,79,NA,57,1,0,3,551,1.393,6.9,0.2,5.7,4.1,0.72,Japanese Baseball League (Spring),Nagoya Kinko,1938,nakaya000tad,right
3,Ineo Shioda,27,1,0,1,4.3,5,0,4,0,0,NA,23,18,12,11,1,20,NA,12,2,0,1,106,1.652,7,0.4,7.8,4.7,0.6,Japanese Baseball League (Spring),Nagoya Kinko,1938,shioda000ine,right
4,Tsuruo Suzuki,23,1,6,0.143,5.59,13,8,2,2,0,NA,56.1,69,53,35,5,36,NA,23,1,0,2,281,1.864,11,0.8,5.8,3.7,0.64,Japanese Baseball League (Spring),Nagoya Kinko,1938,suzuki000tsu,right
5,Sukesaburo Tsunekawa*,19,0,3,0,7.2,9,4,4,1,0,NA,30,31,29,24,1,26,NA,9,0,0,1,144,1.9,9.3,0.3,7.8,2.7,0.35,Japanese Baseball League (Spring),Nagoya Kinko,1938,tsunek000suk,left
1,Bikichi Miyaguchi*,19,6,11,0.353,2.26,20,14,6,13,0,NA,147.2,114,67,37,1,94,NA,69,4,2,4,643,1.409,6.9,0.1,5.7,4.2,0.73,Japanese Baseball League (Fall),Nakai,1938,miyagu000yos,left
2,Masao Nakamoto,17,4,7,0.364,2.94,15,14,1,7,1,NA,98,84,47,32,1,65,NA,33,5,0,0,439,1.52,7.7,0.1,6,3,0.51,Japanese Baseball League (Fall),Nakai,1938,nakamo000mas,right
3,Yonekichi Naya,23,0,1,0,3.38,1,1,0,1,0,NA,8,7,3,3,0,4,NA,1,0,0,0,35,1.375,7.9,0,4.5,1.1,0.25,Japanese Baseball League (Fall),Nakai,1938,naya--000yon,right
4,Sesho Ryu,27,0,2,0,4.23,6,3,3,1,0,NA,27.2,25,16,13,1,14,NA,7,1,0,1,121,1.41,8.1,0.3,4.6,2.3,0.5,Japanese Baseball League (Fall),Nakai,1938,ryu---000ses,right
5,Yoshitaro Suzuki,24,1,5,0.167,3.25,11,8,3,5,1,NA,69.1,64,31,25,4,28,NA,23,1,0,0,298,1.327,8.3,0.5,3.6,3,0.82,Japanese Baseball League (Fall),Nakai,1938,suzuki004yos,right
1,Shoichi Aoki,20,0,0,NA,2.63,4,1,3,0,0,NA,13.2,13,6,4,0,4,NA,2,0,0,1,54,1.244,8.6,0,2.6,1.3,0.5,Japanese Baseball League (Spring),Osaka Tigers,1938,aoki--000sho,right
2,Fumio Fujimura,21,4,1,0.8,3.05,6,2,3,0,0,NA,20.2,29,9,7,0,4,NA,11,0,0,0,91,1.597,12.6,0,1.7,4.8,2.75,Japanese Baseball League (Spring),Osaka Tigers,1938,fujimu000fum,right
3,Masaru Kageura,22,2,0,1,2.45,6,1,5,0,0,NA,29.1,26,8,8,0,12,NA,16,1,0,0,125,1.295,8,0,3.7,4.9,1.33,Japanese Baseball League (Spring),Osaka Tigers,1938,kageur000mas,right
4,Takao Misono,22,10,1,0.909,1.75,16,9,6,5,0,NA,87.2,68,29,17,2,30,NA,32,1,0,0,361,1.118,7,0.2,3.1,3.3,1.07,Japanese Baseball League (Spring),Osaka Tigers,1938,misono000tak,right
5,Yukio Nishimura,18,11,4,0.733,1.53,19,16,2,11,3,NA,129.1,111,41,22,2,66,NA,65,1,1,3,558,1.369,7.7,0.1,4.6,4.5,0.98,Japanese Baseball League (Spring),Osaka Tigers,1938,nishim001yuk,right
6,Tsuneo Tsuri,20,2,0,1,3.73,7,6,0,0,0,NA,31.1,22,16,13,2,28,NA,11,3,0,0,140,1.596,6.3,0.6,8,3.2,0.39,Japanese Baseball League (Spring),Osaka Tigers,1938,tsuri-000tsu,right
1,Kenichi Aoshiba,25,0,0,NA,0,2,0,2,0,0,NA,3.2,2,0,0,0,1,NA,0,0,0,0,13,0.818,4.9,0,2.5,0,0,Japanese Baseball League (Spring),Tokyo Kyojin,1938,aoshib000ken,right
2,Tetsuharu Kawakami*,18,2,2,0.5,2.56,11,8,2,2,1,NA,59.2,55,21,17,2,26,NA,23,1,0,1,254,1.358,8.3,0.3,3.9,3.5,0.88,Japanese Baseball League (Spring),Tokyo Kyojin,1938,kawaka000tet,left
3,Hachiro Maekawa,26,6,3,0.667,3.61,13,6,5,1,0,NA,52.1,45,26,21,2,34,NA,28,4,0,0,241,1.51,7.7,0.3,5.8,4.8,0.82,Japanese Baseball League (Spring),Tokyo Kyojin,1938,maekaw000hac,right
4,Shigeru Mizuhara,29,0,0,NA,18,1,0,0,0,0,NA,2,3,4,4,0,3,NA,1,0,0,0,11,3,13.5,0,13.5,4.5,0.33,Japanese Baseball League (Spring),Tokyo Kyojin,1938,mizuha000shi,right
5,Tomosaburo Narita*,21,2,3,0.4,3.72,8,5,1,3,0,NA,38.2,29,25,16,2,16,NA,18,2,0,0,162,1.164,6.8,0.5,3.7,4.2,1.13,Japanese Baseball League (Spring),Tokyo Kyojin,1938,narita000tom,left
6,Victor Starfin?,22,14,3,0.824,2.04,24,16,6,13,5,NA,158.2,106,42,36,5,57,NA,76,2,0,1,639,1.027,6,0.3,3.2,4.3,1.33,Japanese Baseball League (Spring),Tokyo Kyojin,1938,starfi000vic,unknown
1,Saburo Asaoka,24,8,9,0.471,2.94,21,14,7,10,0,NA,137.2,133,69,45,4,55,NA,39,0,0,3,602,1.366,8.7,0.3,3.6,2.5,0.71,Japanese Baseball League (Spring),Tokyo Senators,1938,asaoka000sab,right
2,Chujiro Endo,20,1,3,0.25,4.37,8,8,0,1,0,NA,35,38,23,17,0,29,NA,4,2,0,0,169,1.914,9.8,0,7.5,1,0.14,Japanese Baseball League (Spring),Tokyo Senators,1938,endo--000chu,right
3,Jiro Ito,28,0,2,0,5.11,7,3,4,0,0,NA,37,36,26,21,1,18,NA,7,0,0,1,164,1.459,8.8,0.2,4.4,1.7,0.39,Japanese Baseball League (Spring),Tokyo Senators,1938,itoh--000jir,right
4,Hiroshi Kaneko*,23,4,6,0.4,3.59,18,9,8,5,0,NA,95.1,87,52,38,3,56,NA,28,4,0,0,418,1.5,8.2,0.3,5.3,2.6,0.5,Japanese Baseball League (Spring),Tokyo Senators,1938,kaneko000hir,left
5,Hideo Murasawa*,20,0,1,0,5.4,1,1,0,0,0,NA,1.2,5,4,1,0,2,NA,0,0,0,0,12,4.2,27,0,10.8,0,0,Japanese Baseball League (Spring),Tokyo Senators,1938,murasa000hid,left
1,Masao Furukawa?,24,1,5,0.167,7.5,14,8,5,1,0,NA,54,81,58,45,5,32,NA,14,0,0,1,266,2.093,13.5,0.8,5.3,2.3,0.44,Japanese Baseball League,Eagles,1939,furuka000mas,unknown
2,Tadashi Kameda?,26,14,27,0.341,3.08,55,41,13,30,4,NA,371,306,184,127,8,280,NA,208,3,2,14,1641,1.58,7.4,0.2,6.8,5,0.74,Japanese Baseball League,Eagles,1939,kameda000tad,unknown
3,Junichi Mochizuki*,20,8,27,0.229,3.01,46,35,9,22,3,NA,295.2,278,146,99,8,166,NA,120,5,2,4,1324,1.502,8.5,0.2,5.1,3.7,0.72,Japanese Baseball League,Eagles,1939,mochid000jun,left
4,Miyoshi Nakagawa*,19,6,6,0.5,1.64,17,12,4,9,2,NA,110,94,39,20,1,54,NA,43,3,0,0,475,1.345,7.7,0.1,4.4,3.5,0.8,Japanese Baseball League,Eagles,1939,nakaga000miy,left
5,Chutaro Seike,19,0,0,NA,5,4,0,3,0,0,NA,9,9,7,5,0,8,NA,0,2,0,0,45,1.889,9,0,8,0,0,Japanese Baseball League,Eagles,1939,seike-000chu,right
1,Masakimi Araki,34,9,2,0.818,1.73,17,15,2,9,3,NA,114.2,88,29,22,2,33,NA,36,1,0,1,461,1.055,6.9,0.2,2.6,2.8,1.09,Japanese Baseball League,Hankyu,1939,araki-002mas,right
2,Katsusaburo Asano*,23,4,2,0.667,3.74,7,4,3,1,1,NA,33.2,28,20,14,0,11,NA,13,0,0,1,144,1.158,7.5,0,2.9,3.5,1.18,Japanese Baseball League,Hankyu,1939,asano-000kat,left
3,Mitsuhiko Ishida,23,8,7,0.533,2.67,30,19,10,9,3,NA,151.2,117,57,45,3,95,NA,64,2,0,0,653,1.398,6.9,0.2,5.6,3.8,0.67,Japanese Baseball League,Hankyu,1939,ishida000mit,right
4,Hirotaro Mori,24,7,3,0.7,2.69,15,13,0,7,2,NA,107,97,41,32,4,38,NA,25,0,0,0,458,1.262,8.2,0.3,3.2,2.1,0.66,Japanese Baseball League,Hankyu,1939,mori--000kot,right
5,Michio Shigematsu,22,13,12,0.52,2.16,33,23,9,13,2,NA,199.2,152,68,48,4,66,NA,70,3,0,4,809,1.092,6.9,0.2,3,3.2,1.06,Japanese Baseball League,Hankyu,1939,shigem000mic,right
6,Satoshi Takahashi,20,17,10,0.63,1.6,37,22,14,19,9,NA,242,165,53,43,3,52,NA,65,1,1,1,933,0.897,6.1,0.1,1.9,2.4,1.25,Japanese Baseball League,Hankyu,1939,takaha003sat,right
1,Isamu Fukushi,20,12,19,0.387,2.82,52,31,14,18,3,NA,294,241,121,92,7,140,NA,79,3,1,1,1256,1.296,7.4,0.2,4.3,2.4,0.56,Japanese Baseball League,Lion,1939,fukush000isa,right
2,Kenichi Izutsu,19,0,0,NA,3,1,0,1,0,0,NA,3,7,2,1,0,0,NA,2,0,0,0,17,2.333,21,0,0,6,NA,Japanese Baseball League,Lion,1939,izutsu000ken,right
3,Yoshio Kikuya,23,16,21,0.432,2.96,55,39,13,22,3,NA,335,277,169,110,4,209,NA,151,4,1,14,1487,1.451,7.4,0.1,5.6,4.1,0.72,Japanese Baseball League,Lion,1939,kikuya000yos,right
4,Hisashi Kondo*,20,3,12,0.2,3.38,38,20,13,7,2,NA,181.1,169,102,68,4,108,NA,80,1,0,5,823,1.528,8.4,0.2,5.4,4,0.74,Japanese Baseball League,Lion,1939,kondo-000his,left
5,Toshiyuki Okamoto,22,2,6,0.25,4.99,10,6,5,3,0,NA,48.2,54,35,27,1,30,NA,23,0,0,0,229,1.726,10,0.2,5.5,4.3,0.77,Japanese Baseball League,Lion,1939,okamot001tos,right
1,Kozo Matsuo*,22,8,13,0.381,2.57,38,30,6,13,3,NA,192.2,164,97,55,3,133,NA,101,2,0,4,856,1.542,7.7,0.1,6.2,4.7,0.76,Japanese Baseball League,Nagoya,1939,matsuo000koz,left
2,Yukio Muramatsu,19,5,3,0.625,1.03,10,7,3,4,1,NA,70,45,16,8,3,24,NA,23,1,0,0,275,0.986,5.8,0.4,3.1,3,0.96,Japanese Baseball League,Nagoya,1939,murama000yuk,right
3,Saburo Nakamura,26,2,3,0.4,4.4,9,4,4,3,0,NA,47,57,29,23,0,26,NA,15,2,1,0,219,1.766,10.9,0,5,2.9,0.58,Japanese Baseball League,Nagoya,1939,nakamu005mas,right
4,Michio Nishizawa,17,6,10,0.375,2.14,31,14,13,9,1,NA,184.2,119,58,44,6,111,NA,67,3,0,3,760,1.245,5.8,0.3,5.4,3.3,0.6,Japanese Baseball League,Nagoya,1939,nishiz000mic,right
5,Nobuo Osawa,22,3,6,0.333,3.11,17,8,8,5,1,NA,101.1,89,47,35,4,58,NA,23,4,0,0,440,1.451,7.9,0.4,5.2,2,0.4,Japanese Baseball League,Nagoya,1939,osawa-000nob,right
6,Sakae Shigesato,23,14,18,0.438,2.32,40,33,5,22,3,NA,260.1,232,102,67,5,125,NA,77,2,0,3,1107,1.371,8,0.2,4.3,2.7,0.62,Japanese Baseball League,Nagoya,1939,shiger000sak,right
7,Minoru Tanaka,21,0,0,NA,0,1,0,1,0,0,NA,0.1,2,0,0,0,0,NA,0,0,0,0,2,6,54,0,0,0,NA,Japanese Baseball League,Nagoya,1939,tanaka000min,right
1,Kuranosuke Furuya,28,7,18,0.28,2.43,45,32,11,10,0,NA,244,206,102,66,7,129,NA,107,1,0,4,1056,1.373,7.6,0.3,4.8,3.9,0.83,Japanese Baseball League,Nagoya Kinko,1939,furuya000kur,right
